Initiale Temperature,Cooling Rate,NB Iterations,NB Iterations cooling,average %,min result,nb opt,average execution time (s),Average init
1529.243710861528,0.6,400000,1,38.465,9561,0,6.3635,264.4605
1529.243710861528,0.7,400000,1,53.845,10623,0,5.9989,270.9920
1529.243710861528,0.75,400000,1,39.450,9629,0,6.0258,277.5815
1529.243710861528,0.8,400000,1,46.097,10088,0,6.2186,264.4895
1529.243710861528,0.85,400000,1,65.127,11402,0,6.1699,267.8059
1529.243710861528,0.9,400000,1,51.238,10443,0,6.0409,290.3403
1529.243710861528,0.91,400000,1,49.920,10352,0,6.0266,298.1173
1529.243710861528,0.92,400000,1,43.794,9929,0,6.0705,310.4272
1529.243710861528,0.93,400000,1,56.307,10793,0,6.0507,263.6495
1529.243710861528,0.94,400000,1,63.143,11265,0,6.0618,304.0985
1529.243710861528,0.95,400000,1,67.922,11595,0,6.0628,309.6597
1529.243710861528,0.96,400000,1,53.845,10623,0,5.9896,266.4736
1529.243710861528,0.97,400000,1,49.645,10333,0,6.0344,296.8718
1529.243710861528,0.98,400000,1,43.968,9941,0,5.9750,276.1767
1529.243710861528,0.99,400000,1,61.405,11145,0,6.3274,288.1390
2190.1647025288225,0.6,400000,1,70.036,11741,0,6.2005,276.2925
2190.1647025288225,0.7,400000,1,60.825,11105,0,6.0393,300.5503
2190.1647025288225,0.75,400000,1,57.495,10875,0,6.1138,281.0282
2190.1647025288225,0.8,400000,1,43.172,9886,0,6.0474,282.5344
2190.1647025288225,0.85,400000,1,62.361,11211,0,6.0692,274.9457
2190.1647025288225,0.9,400000,1,39.537,9635,0,6.0218,279.4642
2190.1647025288225,0.91,400000,1,55.438,10733,0,5.9879,295.2933
2190.1647025288225,0.92,400000,1,49.732,10339,0,6.0127,286.2708
2190.1647025288225,0.93,400000,1,58.726,10960,0,5.9830,249.8769
2190.1647025288225,0.94,400000,1,47.719,10200,0,6.0219,310.3548
2190.1647025288225,0.95,400000,1,74.511,12050,0,6.0510,295.1629
2190.1647025288225,0.96,400000,1,67.878,11592,0,6.0938,281.9551
2190.1647025288225,0.97,400000,1,50.717,10407,0,6.0036,291.6582
2190.1647025288225,0.98,400000,1,73.396,11973,0,5.9524,292.1941
2190.1647025288225,0.99,400000,1,46.778,10135,0,5.8791,280.7386
2715.4172862891664,0.6,400000,1,44.113,9951,0,6.0051,266.6763
2715.4172862891664,0.7,400000,1,43.881,9935,0,6.0495,284.8081
2715.4172862891664,0.75,400000,1,54.975,10701,0,5.9716,290.8472
2715.4172862891664,0.8,400000,1,51.180,10439,0,6.0452,269.5438
2715.4172862891664,0.85,400000,1,51.803,10482,0,6.0311,322.3461
2715.4172862891664,0.9,400000,1,60.000,11048,0,5.9878,275.5105
2715.4172862891664,0.91,400000,1,59.957,11045,0,6.0302,301.2889
2715.4172862891664,0.92,400000,1,59.899,11041,0,6.0224,268.6894
2715.4172862891664,0.93,400000,1,55.337,10726,0,6.0302,295.8291
2715.4172862891664,0.94,400000,1,53.570,10604,0,6.0749,265.6481
2715.4172862891664,0.95,400000,1,65.098,11400,0,6.4352,274.0043
2715.4172862891664,0.96,400000,1,56.119,10780,0,6.0285,293.6423
2715.4172862891664,0.97,400000,1,61.593,11158,0,6.1300,290.6300
2715.4172862891664,0.98,400000,1,65.909,11456,0,6.2057,291.6872
2715.4172862891664,0.99,400000,1,56.365,10797,0,5.9225,298.5807
3500.781751882575,0.6,400000,1,46.618,10124,0,6.0879,276.2636
3500.781751882575,0.7,400000,1,43.968,9941,0,6.1038,278.6531
3500.781751882575,0.75,400000,1,62.737,11237,0,6.0010,299.4642
3500.781751882575,0.8,400000,1,55.670,10749,0,6.0316,287.5742
3500.781751882575,0.85,400000,1,33.932,9248,0,6.0621,298.6531
3500.781751882575,0.9,400000,1,60.174,11060,0,6.0485,288.3997
3500.781751882575,0.91,400000,1,60.319,11070,0,6.0450,291.3686
3500.781751882575,0.92,400000,1,57.552,10879,0,5.9898,271.1658
3500.781751882575,0.93,400000,1,53.729,10615,0,5.9873,276.3215
3500.781751882575,0.94,400000,1,77.668,12268,0,6.0345,279.7538
3500.781751882575,0.95,400000,1,34.019,9254,0,6.0541,265.7350
3500.781751882575,0.96,400000,1,62.766,11239,0,6.0185,271.6872
3500.781751882575,0.97,400000,1,49.341,10312,0,5.9601,255.5105
3500.781751882575,0.98,400000,1,55.959,10769,0,5.9511,274.2505
3500.781751882575,0.99,400000,1,66.488,11496,0,5.8642,283.0268
4806.682365587164,0.6,400000,1,40.087,9673,0,6.0476,280.9848
4806.682365587164,0.7,400000,1,65.445,11424,0,6.0233,282.8096
4806.682365587164,0.75,400000,1,66.459,11494,0,5.9649,259.3628
4806.682365587164,0.8,400000,1,56.669,10818,0,6.0454,250.7458
4806.682365587164,0.85,400000,1,50.529,10394,0,6.0171,278.2621
4806.682365587164,0.9,400000,1,40.478,9700,0,5.9572,298.6821
4806.682365587164,0.91,400000,1,55.337,10726,0,6.0677,275.1919
4806.682365587164,0.92,400000,1,51.687,10474,0,6.0340,285.7639
4806.682365587164,0.93,400000,1,47.849,10209,0,6.0128,305.7205
4806.682365587164,0.94,400000,1,59.363,11004,0,6.0969,280.8979
4806.682365587164,0.95,400000,1,62.361,11211,0,6.0799,286.9660
4806.682365587164,0.96,400000,1,55.467,10735,0,6.1970,269.4859
4806.682365587164,0.97,400000,1,46.720,10131,0,6.1235,287.1253
4806.682365587164,0.98,400000,1,44.924,10007,0,6.3785,298.7835
4806.682365587164,0.99,400000,1,57.972,10908,0,6.0514,275.6264
7414.3227907885785,0.6,400000,1,31.818,9102,0,6.0473,256.5532
7414.3227907885785,0.7,400000,1,43.867,9934,0,6.3003,266.2708
7414.3227907885785,0.75,400000,1,47.038,10153,0,6.1455,297.7987
7414.3227907885785,0.8,400000,1,73.049,11949,0,6.3388,253.8595
7414.3227907885785,0.85,400000,1,72.180,11889,0,6.2484,289.7031
7414.3227907885785,0.9,400000,1,58.436,10940,0,6.5384,263.7654
7414.3227907885785,0.91,400000,1,54.642,10678,0,6.3084,267.7335
7414.3227907885785,0.92,400000,1,47.690,10198,0,6.6143,292.6720
7414.3227907885785,0.93,400000,1,43.954,9940,0,6.3255,284.2723
7414.3227907885785,0.94,400000,1,53.411,10593,0,6.1014,287.9797
7414.3227907885785,0.95,400000,1,56.973,10839,0,6.1373,279.0007
7414.3227907885785,0.96,400000,1,59.160,10990,0,6.1223,306.6908
7414.3227907885785,0.97,400000,1,59.855,11038,0,6.1141,288.6749
7414.3227907885785,0.98,400000,1,70.688,11786,0,6.0619,293.2802
7414.3227907885785,0.99,400000,1,60.130,11057,0,6.0159,278.9283
8283.016057892652,0.6,400000,1,65.677,11440,0,6.1085,253.7292
8283.016057892652,0.7,400000,1,61.347,11141,0,6.2991,298.7980
8283.016057892652,0.75,400000,1,48.834,10277,0,6.1719,296.8718
8283.016057892652,0.8,400000,1,77.451,12253,0,6.5137,269.6597
8283.016057892652,0.85,400000,1,52.382,10522,0,6.1112,244.1709
8283.016057892652,0.9,400000,1,50.862,10417,0,6.4248,267.7480
8283.016057892652,0.91,400000,1,68.602,11642,0,6.3493,280.6083
8283.016057892652,0.92,400000,1,58.870,10970,0,6.4322,268.7907
8283.016057892652,0.93,400000,1,58.088,10916,0,6.3054,298.9138
8283.016057892652,0.94,400000,1,54.757,10686,0,6.2720,288.2694
8283.016057892652,0.95,400000,1,48.762,10272,0,6.1507,279.8117
8283.016057892652,0.96,400000,1,55.699,10751,0,6.3172,284.1274
8283.016057892652,0.97,400000,1,56.770,10825,0,6.3375,266.1115
8283.016057892652,0.98,400000,1,67.603,11573,0,6.3803,272.3823
8283.016057892652,0.99,400000,1,68.863,11660,0,6.2845,295.6264
9368.695116714176,0.6,400000,1,55.279,10722,0,6.6192,280.8834
9368.695116714176,0.7,400000,1,62.390,11213,0,6.4728,292.1651
