Benchmark name,Size,OPT,average result,average %,min result,nb opt,average execution time (s)
br17,17,39,47.9,22.821,39,3,0.0141
ftv33,34,1286,1627.0,26.516,1627,0,0.0165
ftv35,36,1473,1824.6,23.870,1821,0,0.0171
ftv38,39,1530,1908.0,24.706,1908,0,0.0179
p43,43,5620,5769.6,2.662,5736,0,0.0230
ftv44,45,1613,1916.0,18.785,1916,0,0.0202
ftv47,48,1776,2238.0,26.014,2238,0,0.0223
ry48p,48,14422,19097.4,32.419,18942,0,0.0231
ft53,53,6905,12250.3,77.412,12055,0,0.0239
