Initiale Temperature,Cooling Rate,NB Iterations,NB Iterations cooling,average %,min result,nb opt,average execution time (s),Average init
2206.2323179705622,0.6,200000,5,57.871,10901,0,2.8399,296.3070
2206.2323179705622,0.7,200000,5,57.292,10861,0,2.8119,266.0681
2206.2323179705622,0.75,200000,5,39.986,9666,0,2.8900,253.7292
2206.2323179705622,0.8,200000,5,53.469,10597,0,2.8468,267.2122
2206.2323179705622,0.85,200000,5,59.710,11028,0,2.8606,293.6568
2206.2323179705622,0.9,200000,5,39.261,9616,0,2.8326,265.7929
2206.2323179705622,0.91,200000,5,37.828,9517,0,2.7406,257.3497
2206.2323179705622,0.92,200000,5,50.862,10417,0,2.7690,267.5597
2206.2323179705622,0.93,200000,5,41.101,9743,0,2.7902,282.8240
2206.2323179705622,0.94,200000,5,40.377,9693,0,2.7607,255.3657
2206.2323179705622,0.95,200000,5,75.119,12092,0,2.7503,268.3997
2206.2323179705622,0.96,200000,5,76.133,12162,0,2.6494,256.0608
2206.2323179705622,0.97,200000,5,67.241,11548,0,2.6133,299.8552
2206.2323179705622,0.98,200000,5,55.786,10757,0,2.4557,302.0999
2206.2323179705622,0.99,200000,5,47.922,10214,0,2.4358,292.8892
3159.739755068384,0.6,200000,5,50.239,10374,0,2.8274,289.6597
3159.739755068384,0.7,200000,5,50.282,10377,0,2.9655,281.6655
3159.739755068384,0.75,200000,5,43.765,9927,0,2.8758,272.8023
3159.739755068384,0.8,200000,5,60.492,11082,0,2.8462,284.2578
3159.739755068384,0.85,200000,5,57.466,10873,0,2.8268,280.3186
3159.739755068384,0.9,200000,5,55.496,10737,0,2.7696,267.8783
3159.739755068384,0.91,200000,5,53.700,10613,0,2.8321,283.9392
3159.739755068384,0.92,200000,5,52.411,10524,0,2.7389,285.9812
3159.739755068384,0.93,200000,5,67.067,11536,0,2.7623,296.5098
3159.739755068384,0.94,200000,5,59.681,11026,0,2.7101,270.9776
3159.739755068384,0.95,200000,5,51.702,10475,0,2.7334,295.0471
3159.739755068384,0.96,200000,5,43.215,9889,0,2.6827,302.8240
3159.739755068384,0.97,200000,5,41.057,9740,0,2.6158,299.0297
3159.739755068384,0.98,200000,5,42.129,9814,0,2.4602,292.0927
3159.739755068384,0.99,200000,5,61.028,11119,0,2.4775,264.8371
3917.5190528735475,0.6,200000,5,60.319,11070,0,2.8492,298.1463
3917.5190528735475,0.7,200000,5,50.123,10366,0,2.8287,280.6662
3917.5190528735475,0.75,200000,5,68.545,11638,0,2.8839,304.8950
3917.5190528735475,0.8,200000,5,76.930,12217,0,2.8998,298.8849
3917.5190528735475,0.85,200000,5,54.931,10698,0,2.8103,273.6278
3917.5190528735475,0.9,200000,5,56.235,10788,0,2.7916,290.6734
3917.5190528735475,0.91,200000,5,51.586,10467,0,2.9542,275.5684
3917.5190528735475,0.92,200000,5,66.720,11512,0,2.7658,266.8356
3917.5190528735475,0.93,200000,5,54.366,10659,0,2.7498,293.9175
3917.5190528735475,0.94,200000,5,61.839,11175,0,2.8137,311.1369
3917.5190528735475,0.95,200000,5,49.109,10296,0,2.6956,238.2332
3917.5190528735475,0.96,200000,5,60.174,11060,0,2.6944,274.1057
3917.5190528735475,0.97,200000,5,61.072,11122,0,2.5899,252.9616
3917.5190528735475,0.98,200000,5,48.081,10225,0,2.4878,267.9797
3917.5190528735475,0.99,200000,5,66.184,11475,0,2.4657,300.2607
5050.560472675568,0.6,200000,5,60.637,11092,0,2.7998,272.9906
5050.560472675568,0.7,200000,5,81.405,12526,0,2.8515,266.9660
5050.560472675568,0.75,200000,5,46.039,10084,0,2.8058,274.8733
