Initiale Temperature,Cooling Rate,NB Iterations,NB Iterations cooling,average %,min result,nb opt,average execution time (s),Average init
1229.9589647653277,0.4,50000,1,61.694,11165,0,0.7676,284.9095
1229.9589647653277,0.45,50000,1,52.049,10499,0,0.7324,294.2361
1229.9589647653277,0.5,50000,1,42.288,9825,0,0.7148,276.4808
1229.9589647653277,0.55,50000,1,66.633,11506,0,0.7418,264.1709
1229.9589647653277,0.6,50000,1,70.094,11745,0,0.7703,266.9660
1229.9589647653277,0.65,50000,1,55.177,10715,0,0.7051,260.2462
1229.9589647653277,0.7,50000,1,62.824,11243,0,0.7190,288.8631
1229.9589647653277,0.75,50000,1,56.611,10814,0,0.7318,295.0615
1229.9589647653277,0.8,50000,1,54.902,10696,0,0.7185,314.1636
1229.9589647653277,0.85,50000,1,57.335,10864,0,0.6927,296.5822
1229.9589647653277,0.9,50000,1,68.892,11662,0,0.7601,272.3678
1411.3827647975993,0.4,50000,1,60.695,11096,0,0.7533,297.6973
1411.3827647975993,0.45,50000,1,44.967,10010,0,0.7077,286.2853
1411.3827647975993,0.5,50000,1,35.235,9338,0,0.7342,261.6075
1411.3827647975993,0.55,50000,1,50.051,10361,0,0.7439,242.5923
1411.3827647975993,0.6,50000,1,57.495,10875,0,0.7468,294.5112
1411.3827647975993,0.65,50000,1,66.068,11467,0,0.7574,286.4881
1411.3827647975993,0.7,50000,1,65.894,11455,0,0.7315,251.6437
1411.3827647975993,0.75,50000,1,59.667,11025,0,0.7445,270.0797
1411.3827647975993,0.8,50000,1,70.123,11747,0,0.7098,280.4779
1411.3827647975993,0.85,50000,1,52.657,10541,0,0.8134,264.6488
1411.3827647975993,0.9,50000,1,67.082,11537,0,0.7433,296.6546
1625.9173110818617,0.4,50000,1,61.622,11160,0,0.7218,288.7762
1625.9173110818617,0.45,50000,1,51.919,10490,0,0.7690,285.2426
1625.9173110818617,0.5,50000,1,46.358,10106,0,0.7528,291.6293
1625.9173110818617,0.55,50000,1,52.194,10509,0,0.7695,283.3599
1625.9173110818617,0.6,50000,1,33.295,9204,0,0.8598,302.6068
1625.9173110818617,0.65,50000,1,50.862,10417,0,0.7321,266.2274
1625.9173110818617,0.7,50000,1,67.183,11544,0,0.7544,245.2715
1625.9173110818617,0.75,50000,1,55.554,10741,0,0.7106,251.0934
1625.9173110818617,0.8,50000,1,55.902,10765,0,0.7300,274.2795
1625.9173110818617,0.85,50000,1,62.433,11216,0,0.7227,287.1832
1625.9173110818617,0.9,50000,1,70.167,11750,0,0.7390,267.0963
1885.1292218038661,0.4,50000,1,71.383,11834,0,0.7644,284.7791
1885.1292218038661,0.45,50000,1,64.098,11331,0,0.7203,295.1484
1885.1292218038661,0.5,50000,1,69.109,11677,0,0.7029,309.2976
1885.1292218038661,0.55,50000,1,52.382,10522,0,0.7189,277.7263
1885.1292218038661,0.6,50000,1,60.507,11083,0,0.7232,249.5148
1885.1292218038661,0.65,50000,1,60.449,11079,0,0.7275,294.5981
1885.1292218038661,0.7,50000,1,62.129,11195,0,0.7920,269.9059
1885.1292218038661,0.75,50000,1,70.471,11771,0,0.8052,292.0492
1885.1292218038661,0.8,50000,1,77.741,12273,0,0.7539,296.5677
1885.1292218038661,0.85,50000,1,70.833,11796,0,0.7553,299.8552
1885.1292218038661,0.9,50000,1,55.583,10743,0,0.7712,271.2672
2206.2323179705622,0.4,50000,1,57.263,10859,0,0.8664,295.0471
2206.2323179705622,0.45,50000,1,56.278,10791,0,0.7641,274.6416
2206.2323179705622,0.5,50000,1,37.784,9514,0,0.7127,273.9464
2206.2323179705622,0.55,50000,1,69.370,11695,0,0.8265,283.5916
2206.2323179705622,0.6,50000,1,49.124,10297,0,0.7601,298.4359
2206.2323179705622,0.65,50000,1,66.343,11486,0,0.8416,256.4663
2206.2323179705622,0.7,50000,1,34.077,9258,0,0.7551,278.3780
2206.2323179705622,0.75,50000,1,42.694,9853,0,0.7568,276.7125
2206.2323179705622,0.8,50000,1,61.217,11132,0,0.7447,294.5692
2206.2323179705622,0.85,50000,1,44.909,10006,0,0.7466,273.9319
2206.2323179705622,0.9,50000,1,66.503,11497,0,0.7336,261.1441
2616.1668856852352,0.4,50000,1,55.858,10762,0,0.7533,262.0275
2616.1668856852352,0.45,50000,1,66.879,11523,0,0.7109,286.5894
2616.1668856852352,0.5,50000,1,49.225,10304,0,0.7533,266.2998
2616.1668856852352,0.55,50000,1,71.311,11829,0,0.7087,292.0782
2616.1668856852352,0.6,50000,1,46.792,10136,0,0.7342,306.5605
2616.1668856852352,0.65,50000,1,56.872,10832,0,0.7016,289.7755
2616.1668856852352,0.7,50000,1,33.744,9235,0,0.6996,276.4953
2616.1668856852352,0.75,50000,1,59.928,11043,0,0.7189,274.6271
2616.1668856852352,0.8,50000,1,56.322,10794,0,0.7331,304.1854
2616.1668856852352,0.85,50000,1,66.126,11471,0,0.6962,259.6669
2616.1668856852352,0.9,50000,1,46.575,10121,0,0.6956,258.0014
3159.739755068384,0.4,50000,1,65.025,11395,0,0.7496,267.5453
3159.739755068384,0.45,50000,1,49.573,10328,0,0.7382,291.6582
3159.739755068384,0.5,50000,1,52.353,10520,0,0.7306,282.9254
3159.739755068384,0.55,50000,1,57.929,10905,0,0.7103,286.0681
3159.739755068384,0.6,50000,1,40.174,9679,0,0.7405,235.9160
3159.739755068384,0.65,50000,1,56.495,10806,0,0.7134,260.2028
3159.739755068384,0.7,50000,1,63.259,11273,0,0.7264,284.8660
3159.739755068384,0.75,50000,1,72.165,11888,0,0.7241,242.1868
3159.739755068384,0.8,50000,1,55.583,10743,0,0.7186,276.3215
3159.739755068384,0.85,50000,1,79.754,12412,0,0.7250,251.3396
3159.739755068384,0.9,50000,1,44.475,9976,0,0.7298,261.1731
3917.5190528735475,0.4,50000,1,51.991,10495,0,0.7309,268.4576
