Initiale Temperature,Cooling Rate,NB Iterations,NB Iterations cooling,average %,min result,nb opt,average execution time (s),Average init
1229.9589647653277,0.4,50000,5,49.428,10318,0,0.7817,283.6206
1229.9589647653277,0.45,50000,5,50.094,10364,0,0.7459,296.1477
1229.9589647653277,0.5,50000,5,65.489,11427,0,0.7119,274.5836
1229.9589647653277,0.55,50000,5,54.178,10646,0,0.7403,289.6162
1229.9589647653277,0.6,50000,5,31.774,9099,0,0.6961,254.7864
1229.9589647653277,0.65,50000,5,64.620,11367,0,0.7221,283.3454
1229.9589647653277,0.7,50000,5,65.387,11420,0,0.7663,260.8545
1229.9589647653277,0.75,50000,5,57.610,10883,0,0.7110,295.4671
1229.9589647653277,0.8,50000,5,42.201,9819,0,0.9488,276.9008
1229.9589647653277,0.85,50000,5,63.693,11303,0,0.7214,304.8371
1229.9589647653277,0.9,50000,5,48.791,10274,0,0.6502,287.9797
1411.3827647975993,0.4,50000,5,43.983,9942,0,0.7163,284.0116
1411.3827647975993,0.45,50000,5,73.251,11963,0,0.7730,280.9269
1411.3827647975993,0.5,50000,5,49.515,10324,0,0.6876,269.6452
1411.3827647975993,0.55,50000,5,68.110,11608,0,0.7027,252.2954
1411.3827647975993,0.6,50000,5,73.874,12006,0,0.7308,305.3440
1411.3827647975993,0.65,50000,5,42.505,9840,0,0.7305,274.2071
1411.3827647975993,0.7,50000,5,54.598,10675,0,0.6849,266.6039
1411.3827647975993,0.75,50000,5,56.466,10804,0,0.6733,272.2954
1411.3827647975993,0.8,50000,5,64.852,11383,0,0.6823,262.9544
1411.3827647975993,0.85,50000,5,50.471,10390,0,0.6943,278.8125
1411.3827647975993,0.9,50000,5,57.480,10874,0,0.6736,285.6770
1625.9173110818617,0.4,50000,5,49.138,10298,0,0.7263,280.0869
1625.9173110818617,0.45,50000,5,47.762,10203,0,0.6938,250.3114
1625.9173110818617,0.5,50000,5,56.206,10786,0,0.7332,237.6684
1625.9173110818617,0.55,50000,5,61.694,11165,0,0.7579,257.3353
1625.9173110818617,0.6,50000,5,68.298,11621,0,0.7250,278.9138
1625.9173110818617,0.65,50000,5,54.830,10691,0,0.7065,255.2788
1625.9173110818617,0.7,50000,5,60.521,11084,0,0.6909,245.7784
1625.9173110818617,0.75,50000,5,69.008,11670,0,0.7060,288.3997
1625.9173110818617,0.8,50000,5,71.731,11858,0,0.6695,269.1238
1625.9173110818617,0.85,50000,5,68.211,11615,0,0.6892,296.1332
1625.9173110818617,0.9,50000,5,50.022,10359,0,0.6466,267.2991
1885.1292218038661,0.4,50000,5,51.673,10473,0,0.7569,294.9891
1885.1292218038661,0.45,50000,5,59.102,10986,0,0.7412,259.2035
1885.1292218038661,0.5,50000,5,61.622,11160,0,0.7076,252.9471
1885.1292218038661,0.55,50000,5,65.692,11441,0,0.7131,282.5778
1885.1292218038661,0.6,50000,5,67.734,11582,0,0.7066,283.4613
1885.1292218038661,0.65,50000,5,46.705,10130,0,0.7088,270.2390
1885.1292218038661,0.7,50000,5,48.038,10222,0,0.7864,286.9804
1885.1292218038661,0.75,50000,5,60.116,11056,0,0.6782,287.5308
1885.1292218038661,0.8,50000,5,58.407,10938,0,0.6885,284.4750
1885.1292218038661,0.85,50000,5,54.511,10669,0,0.6592,289.4569
1885.1292218038661,0.9,50000,5,51.629,10470,0,0.6531,293.0630
2206.2323179705622,0.4,50000,5,69.978,11737,0,0.7673,246.7777
2206.2323179705622,0.45,50000,5,54.033,10636,0,0.7128,293.3092
2206.2323179705622,0.5,50000,5,66.503,11497,0,0.7488,269.8045
2206.2323179705622,0.55,50000,5,57.509,10876,0,0.7163,266.6618
2206.2323179705622,0.6,50000,5,47.777,10204,0,0.6757,261.3903
2206.2323179705622,0.65,50000,5,56.206,10786,0,0.7060,290.3548
2206.2323179705622,0.7,50000,5,61.361,11142,0,0.6995,287.4873
2206.2323179705622,0.75,50000,5,73.860,12005,0,0.7000,315.5829
2206.2323179705622,0.8,50000,5,54.410,10662,0,0.7016,272.6140
2206.2323179705622,0.85,50000,5,58.450,10941,0,0.6669,225.8798
2206.2323179705622,0.9,50000,5,55.380,10729,0,0.6830,271.4699
2616.1668856852352,0.4,50000,5,50.369,10383,0,0.7131,303.2875
2616.1668856852352,0.45,50000,5,43.838,9932,0,0.7185,250.6879
2616.1668856852352,0.5,50000,5,56.988,10840,0,0.7314,280.8834
2616.1668856852352,0.55,50000,5,59.913,11042,0,0.7350,279.6524
2616.1668856852352,0.6,50000,5,49.196,10302,0,0.7002,239.7683
2616.1668856852352,0.65,50000,5,46.676,10128,0,0.7633,283.5192
2616.1668856852352,0.7,50000,5,59.160,10990,0,0.7367,286.3287
2616.1668856852352,0.75,50000,5,69.689,11717,0,0.7013,294.8154
2616.1668856852352,0.8,50000,5,61.202,11131,0,0.7001,297.8421
2616.1668856852352,0.85,50000,5,40.898,9729,0,0.6934,299.6959
2616.1668856852352,0.9,50000,5,44.127,9952,0,0.7015,304.1274
3159.739755068384,0.4,50000,5,50.384,10384,0,0.6742,307.8928
3159.739755068384,0.45,50000,5,57.234,10857,0,0.7389,250.6589
3159.739755068384,0.5,50000,5,58.001,10910,0,0.7024,308.0232
3159.739755068384,0.55,50000,5,44.678,9990,0,0.7348,266.4881
3159.739755068384,0.6,50000,5,59.986,11047,0,0.6885,279.3917
3159.739755068384,0.65,50000,5,57.292,10861,0,0.6719,286.7777
3159.739755068384,0.7,50000,5,57.437,10871,0,0.6988,292.7589
3159.739755068384,0.75,50000,5,74.757,12067,0,0.6802,287.9508
3159.739755068384,0.8,50000,5,54.439,10664,0,0.6841,265.8653
3159.739755068384,0.85,50000,5,42.766,9858,0,0.6607,307.8494
3159.739755068384,0.9,50000,5,50.615,10400,0,0.7366,287.9508
3917.5190528735475,0.4,50000,5,46.314,10103,0,0.6997,296.6691
3917.5190528735475,0.45,50000,5,55.742,10754,0,0.7364,265.6046
3917.5190528735475,0.5,50000,5,48.226,10235,0,0.7848,261.3034
3917.5190528735475,0.55,50000,5,66.112,11470,0,0.7639,270.8327
3917.5190528735475,0.6,50000,5,50.789,10412,0,0.7217,284.4605
3917.5190528735475,0.65,50000,5,71.687,11855,0,0.7756,263.3888
3917.5190528735475,0.7,50000,5,67.574,11571,0,0.7259,269.0369
3917.5190528735475,0.75,50000,5,58.204,10924,0,0.8285,260.1593
3917.5190528735475,0.8,50000,5,40.521,9703,0,0.7520,298.2621
3917.5190528735475,0.85,50000,5,59.870,11039,0,0.7524,275.6408
3917.5190528735475,0.9,50000,5,57.364,10866,0,0.6971,242.8675
5050.560472675568,0.4,50000,5,49.790,10343,0,0.7722,286.0970
5050.560472675568,0.45,50000,5,43.157,9885,0,0.7240,268.2549
5050.560472675568,0.5,50000,5,53.570,10604,0,0.7064,291.9334
5050.560472675568,0.55,50000,5,46.242,10098,0,0.7270,303.7219
5050.560472675568,0.6,50000,5,53.512,10600,0,0.7112,288.9356
5050.560472675568,0.65,50000,5,67.400,11559,0,0.7431,310.2679
5050.560472675568,0.7,50000,5,59.319,11001,0,0.7045,256.3360
5050.560472675568,0.75,50000,5,46.546,10119,0,0.7039,256.1043
5050.560472675568,0.8,50000,5,65.141,11403,0,0.6985,282.8675
5050.560472675568,0.85,50000,5,47.864,10210,0,0.6932,272.1651
5050.560472675568,0.9,50000,5,48.834,10277,0,0.6370,279.1455
6934.576811961033,0.4,50000,5,80.000,12429,0,0.7189,293.3961
6934.576811961033,0.45,50000,5,68.950,11666,0,0.7424,271.5713
6934.576811961033,0.5,50000,5,57.046,10844,0,0.7611,285.7205
6934.576811961033,0.55,50000,5,44.330,9966,0,0.7504,299.0152
6934.576811961033,0.6,50000,5,64.649,11369,0,0.8373,284.8805
6934.576811961033,0.65,50000,5,72.339,11900,0,0.7281,280.3186
6934.576811961033,0.7,50000,5,63.259,11273,0,0.8731,284.9385
6934.576811961033,0.75,50000,5,54.033,10636,0,0.7272,290.2969
6934.576811961033,0.8,50000,5,75.510,12119,0,0.7442,282.6937
6934.576811961033,0.85,50000,5,48.950,10285,0,0.6827,247.9942
6934.576811961033,0.9,50000,5,38.088,9535,0,0.7564,274.8298
10696.606721820703,0.4,50000,5,65.431,11423,0,0.7480,267.7770
10696.606721820703,0.45,50000,5,57.813,10897,0,0.8599,283.0558
10696.606721820703,0.5,50000,5,50.949,10423,0,0.7705,276.1622
10696.606721820703,0.55,50000,5,51.600,10468,0,0.7478,262.6647
10696.606721820703,0.6,50000,5,59.290,10999,0,0.7637,273.3237
10696.606721820703,0.65,50000,5,56.713,10821,0,0.7057,266.2419
10696.606721820703,0.7,50000,5,58.306,10931,0,0.7109,256.3505
10696.606721820703,0.75,50000,5,76.930,12217,0,0.7148,243.9971
10696.606721820703,0.8,50000,5,49.602,10330,0,0.7436,299.0587
10696.606721820703,0.85,50000,5,54.786,10688,0,0.7138,289.2397
10696.606721820703,0.9,50000,5,40.724,9717,0,0.7674,276.2201
