Initiale Temperature,Cooling Rate,NB Iterations,NB Iterations cooling,average %,min result,nb opt,average execution time (s),Average init
2206.2323179705622,0.6,50000,5,46.879,10142,0,0.7554,276.2636
2206.2323179705622,0.7,50000,5,64.634,11368,0,0.7153,266.1550
2206.2323179705622,0.75,50000,5,56.684,10819,0,0.6830,297.9001
2206.2323179705622,0.8,50000,5,54.497,10668,0,0.6895,263.3164
2206.2323179705622,0.85,50000,5,49.891,10350,0,0.6947,275.8870
2206.2323179705622,0.9,50000,5,40.492,9701,0,0.6541,278.9718
2206.2323179705622,0.91,50000,5,65.402,11421,0,0.6953,258.1608
2206.2323179705622,0.92,50000,5,35.829,9379,0,0.7226,275.9160
2206.2323179705622,0.93,50000,5,31.832,9103,0,0.6369,291.2962
2206.2323179705622,0.94,50000,5,47.183,10163,0,0.6216,290.0507
2206.2323179705622,0.95,50000,5,43.201,9888,0,0.6009,271.4410
2206.2323179705622,0.96,50000,5,66.169,11474,0,0.6121,302.6937
2206.2323179705622,0.97,50000,5,43.925,9938,0,0.6129,272.7154
2206.2323179705622,0.98,50000,5,49.747,10340,0,0.6140,288.7907
2206.2323179705622,0.99,50000,5,43.027,9876,0,0.6259,268.5880
3159.739755068384,0.6,50000,5,63.172,11267,0,0.8013,319.0442
3159.739755068384,0.7,50000,5,72.455,11908,0,0.7131,275.2643
3159.739755068384,0.75,50000,5,52.643,10540,0,0.6894,301.6799
3159.739755068384,0.8,50000,5,47.806,10206,0,0.6846,288.3707
3159.739755068384,0.85,50000,5,45.431,10042,0,0.6577,266.3287
3159.739755068384,0.9,50000,5,43.041,9877,0,0.6561,271.3686
3159.739755068384,0.91,50000,5,63.157,11266,0,0.6366,269.4135
3159.739755068384,0.92,50000,5,40.203,9681,0,0.6323,242.2303
3159.739755068384,0.93,50000,5,68.255,11618,0,0.6099,236.4374
3159.739755068384,0.94,50000,5,52.715,10545,0,0.6210,301.3179
3159.739755068384,0.95,50000,5,57.176,10853,0,0.6389,297.2484
3159.739755068384,0.96,50000,5,49.587,10329,0,0.6108,257.8566
3159.739755068384,0.97,50000,5,42.737,9856,0,0.6568,265.2136
3159.739755068384,0.98,50000,5,60.739,11099,0,0.6404,294.3374
3159.739755068384,0.99,50000,5,62.998,11255,0,0.6243,266.0101
