Initiale Temperature,Cooling Rate,NB Iterations,NB Iterations cooling,average %,min result,nb opt,average execution time (s)
4000,0.9,10000,10,60.348,11072,0,6.1343
4000,0.8,10000,10,45.967,10079,0,6.1701
4000,0.85,10000,10,69.833,11727,0,6.2468
4000,0.7,10000,10,54.714,10683,0,6.3485
4000,0.75,10000,10,70.760,11791,0,6.3907
4000,0.95,10000,10,62.665,11232,0,6.3922
5000,0.9,10000,10,66.271,11481,0,6.4268
5000,0.8,10000,10,69.558,11708,0,6.5588
5000,0.85,10000,10,41.130,9745,0,6.6875
5000,0.7,10000,10,50.804,10413,0,6.7186
5000,0.75,10000,10,66.966,11529,0,6.7026
5000,0.95,10000,10,54.033,10636,0,6.7355
6000,0.9,10000,10,45.011,10013,0,6.8591
6000,0.8,10000,10,48.718,10269,0,6.9695
6000,0.85,10000,10,73.034,11948,0,6.9058
6000,0.7,10000,10,50.717,10407,0,8.8886
6000,0.75,10000,10,56.843,10830,0,9.2952
6000,0.95,10000,10,55.004,10703,0,9.2238
8000,0.9,10000,10,32.122,9123,0,9.4406
8000,0.8,10000,10,72.006,11877,0,9.4547
8000,0.85,10000,10,48.747,10271,0,9.3400
8000,0.7,10000,10,46.517,10117,0,8.9549
8000,0.75,10000,10,57.958,10907,0,9.6107
8000,0.95,10000,10,64.678,11371,0,9.2474
9000,0.9,10000,10,51.108,10434,0,7.6727
9000,0.8,10000,10,60.681,11095,0,7.4848
9000,0.85,10000,10,58.986,10978,0,7.8097
9000,0.7,10000,10,57.886,10902,0,7.7317
9000,0.75,10000,10,61.723,11167,0,7.7332
9000,0.95,10000,10,54.757,10686,0,7.7276
10000,0.9,10000,10,39.725,9648,0,7.7532
10000,0.8,10000,10,74.453,12046,0,7.8269
10000,0.85,10000,10,52.672,10542,0,7.9364
10000,0.7,10000,10,39.044,9601,0,8.2094
10000,0.75,10000,10,71.542,11845,0,8.1349
10000,0.95,10000,10,54.873,10694,0,8.3590
11000,0.9,10000,10,39.290,9618,0,8.5095
11000,0.8,10000,10,66.430,11492,0,8.1809
11000,0.85,10000,10,53.338,10588,0,8.3470
11000,0.7,10000,10,63.939,11320,0,8.6101
11000,0.75,10000,10,56.799,10827,0,8.3440
11000,0.95,10000,10,67.922,11595,0,8.3900
12000,0.9,10000,10,68.516,11636,0,8.4859
12000,0.8,10000,10,55.597,10744,0,8.5409
12000,0.85,10000,10,58.537,10947,0,8.6776
12000,0.7,10000,10,40.246,9684,0,8.7346
12000,0.75,10000,10,51.513,10462,0,8.9074
12000,0.95,10000,10,65.315,11415,0,8.8911
13000,0.9,10000,10,46.792,10136,0,9.0480
13000,0.8,10000,10,42.853,9864,0,8.8922
13000,0.85,10000,10,64.692,11372,0,9.3122
13000,0.7,10000,10,72.238,11893,0,9.2323
